title,href,points
GPT in 500 Lines of SQL (explainextended.com),https://explainextended.com/2023/12/31/happy-new-year-15/,715
Ten years of remembering every day that passes (2022) (lembransation.blogspot.com),http://lembransation.blogspot.com/2022/01/ten-years-of-remembering-every-day-that.html,134
Power Metal: is it really about dragons? (2018) (atomutek.org),https://notes.atomutek.org/power-metal-and-dragons.html,168
"Shoes makes building little graphical programs for Mac, Windows, Linux simple (shoesrb.com)",http://shoesrb.com/,126
Show HN: Consol3 – A 3D engine for the terminal that executes on the CPU (github.com/victormeriqui),https://github.com/Victormeriqui/Consol3,133
Go(lang): Robust generic functions on slices (go.dev),https://go.dev/blog/generic-slice-functions,111
DVD's New Cousin Can Store More Than a Petabit (ieee.org),https://spectrum.ieee.org/data-storage-petabit-optical-disc,117
Please make your table headings sticky (btxx.org),https://btxx.org/posts/Please_Make_Your_Table_Headings_Sticky/,236
